id,발생시각,처음확인,마지막변경,권역,보낸곳,출처,지역,건물,건물종류,화재종류,진행상태,등급,신빙성,규모,규모근거,진화,층,아래층물피해,관련기사수,언론사,관련기사,네이버뉴스,네이버블로그,네이버카페
b863504463a8,2026-09-24T18:53:41+09:00,2026-09-24T23:43:19.042871+09:00,2026-09-25T06:03:24+09:00,서울 남부,사장님,소방출동,서울특별시 송파구 잠실동,주공아파트,아파트,"고층건물(3층이상,아파트)",진화중,★★,,정보없음,,,,,0,,,0,0,0
5f991297fb9d,2026-09-24T19:10:00+09:00,,2026-09-25T06:03:24+09:00,경기 서부,,소방출동,경기도 부천시 원미구 원미동,,,"일반화재(차량,주택)",방문가능,★★,,정보없음,,,,,0,,,0,0,0
0af4c011cfd5,2026-09-24T19:19:50+09:00,2026-09-24T23:43:19.042871+09:00,2026-09-25T06:03:24+09:00,인천,사장님,소방출동,인천광역시 제물포구 화수동,화도진그린빌 주공아파트,아파트,기타화재,진화중,★★,공식,정보없음,,,,,0,,,0,0,0
8ec8d351c142,2026-09-24T19:27:06+09:00,2026-09-24T23:43:19.042871+09:00,2026-09-25T06:03:24+09:00,경기 서부,사장님,소방출동,경기도 김포시 구래동,구래역화성파크드림@ 103동 -,,"고층건물(3층이상,아파트)",방문가능,★★★,공식,정보없음,,,,,0,,,0,0,0
3743d7c25b40,2026-09-24T19:32:45+09:00,2026-09-24T23:43:19.042871+09:00,2026-09-25T06:03:24+09:00,경기 남부,사장님,소방출동,경기도 화성시 만세구 향남읍 평리,엘가~탑 모텔 사이건물,숙박,기타화재,진화중,,공식,정보없음,,,,,0,,,0,0,0
608efdeeb532,2026-09-24T20:04:51+09:00,,2026-09-25T06:03:24+09:00,경기 남부,,소방출동,경기도 오산시 부산동,운암주공3단지,아파트,기타화재,방문가능,★★★,공식,정보없음,,,,,0,,,0,0,0
2cd51881eb5f,2026-09-24T20:23:37+09:00,,2026-09-25T06:03:24+09:00,경기 남부,,소방출동,경기도 용인시 기흥구 상하동,,,"일반화재(차량,주택)",방문가능,★★,공식,정보없음,,,,,0,,,0,0,0
9afd3bee8f3f,2026-09-24T20:23:59+09:00,2026-09-24T23:43:19.042871+09:00,2026-09-25T06:03:24+09:00,인천,사장님,소방출동,인천광역시 남동구 도림동,신일유니빌4차,주택·빌라,기타화재,진화중,★,공식,정보없음,,,,,0,,,0,0,0
20720e9749e8,2026-09-24T20:31:39+09:00,2026-09-24T23:43:19.042871+09:00,2026-09-25T06:03:24+09:00,인천,사장님,소방출동,인천광역시 연수구 연수동,,,"일반화재(차량,주택)",진화중,★,공식,정보없음,,,,,0,,,0,0,0
fc6f3d343ae1,2026-09-24T20:35:56+09:00,,2026-09-25T06:03:24+09:00,인천,,소방출동,인천광역시 강화군 선원면 창리,,,"일반화재(차량,주택)",방문가능,★★,공식,정보없음,,,,,0,,,0,0,0
02b8824c2727,2026-09-24T21:00:35+09:00,2026-09-24T23:43:19.042871+09:00,2026-09-25T06:03:24+09:00,경기 남부,사장님,소방출동,경기도 평택시 청북읍 고잔리,,,"일반화재(차량,주택)",방문가능,★★,공식,정보없음,,,,,0,,,0,0,0
6082c3e073a8,2026-09-24T21:04:12+09:00,,2026-09-25T06:03:24+09:00,경기 서부,,소방출동,경기도 시흥시 물왕동,,,"일반화재(차량,주택)",방문가능,★★,공식,정보없음,,,,,0,,,0,0,0
68d599dde89f,2026-09-24T21:54:21+09:00,,2026-09-25T06:03:24+09:00,경기 북부,,소방출동,경기도 고양시 덕양구 화정동,은빛 11단지 1106동,아파트,"일반화재(차량,주택)",진화중,★★,공식,정보없음,,,,,0,,,0,0,0
2399bdff11a7,2026-09-24T22:04:54+09:00,,2026-09-25T06:03:24+09:00,경기 남부,,소방출동,경기도 성남시 분당구 금곡동,청솔마을9단지,아파트,"일반화재(차량,주택)",방문가능,★★★,공식,정보없음,,,,,0,,,0,0,0
aab7c0b447d7,2026-09-24T22:30:08+09:00,2026-09-24T23:43:19.042871+09:00,2026-09-25T06:03:24+09:00,경기 서부,사장님,소방출동,경기도 시흥시 하상동,연꽃마을태평아파트 인근,아파트,기타화재,진화중,★★,공식,정보없음,,,,,0,,,0,0,0
583db04277de,2026-09-24T22:41:43+09:00,2026-09-24T23:43:19.042871+09:00,2026-09-25T06:03:24+09:00,인천,사장님,소방출동,인천광역시 부평구 갈산동,두산아파트,아파트,"고층건물(3층이상,아파트)",방문가능,★★★,공식,정보없음,,,,,0,,,0,0,0
0af86c66f6f9,2026-09-24T22:48:56+09:00,2026-09-24T23:43:19.042871+09:00,2026-09-25T06:03:24+09:00,서울 북부,사장님,소방출동,서울특별시 용산구 서빙고동,,,"일반화재(차량,주택)",진화중,★,공식,정보없음,,,,,0,,,0,0,0
db573ef3c1ba,2026-09-24T23:42:18+09:00,,2026-09-25T06:03:24+09:00,경기 동부,사장님,소방출동,경기도 광주시 도척면 도웅리,펜션빌라,숙박,기타화재,진화중,,공식,정보없음,,,,,0,,,0,0,0
65522aee3c17,2026-09-24T23:53:35+09:00,,2026-09-25T14:18:22+09:00,인천,,소방출동,인천광역시 서해구 경서동,,,"일반화재(차량,주택)",진화중,,공식,정보없음,,,,,0,,,0,0,0
9542878d1509,2026-09-24T23:53:37+09:00,,2026-09-25T14:18:22+09:00,경기 남부,권역방,소방출동,경기도 용인시 기흥구 상하동,효담어르신주간보호센터,상가·빌딩,기타화재,진화중,★,공식,정보없음,,,,,0,,,0,0,0
ed2d44f690b0,2026-09-24T23:54:04+09:00,,2026-09-25T14:18:22+09:00,서울 북부,권역방,소방출동,서울특별시 강북구 미아동,,,"일반화재(차량,주택)",진화중,,공식,정보없음,,,,,0,,,0,0,0
540d3d720363,2026-09-25T00:28:41+09:00,,2026-09-25T09:28:08+09:00,서울 남부,사장님,소방출동,서울특별시 금천구 시흥동,희명병원,요양·병원,"일반화재(차량,주택)",진화중,,공식,정보없음,,,,,0,,,0,0,0
a4f1973f79fe,2026-09-25T01:34:52+09:00,,2026-09-25T06:03:24+09:00,경기 남부,권역방,소방출동,경기도 평택시 합정동,수하우스 비동,주택·빌라,기타화재,진화중,★,공식,정보없음,,,,,0,,,0,0,0
63d7c4d143dd,2026-09-25T01:47:13+09:00,,2026-09-25T14:18:22+09:00,경기 남부,권역방,소방출동,경기도 안성시 대덕면 모산리,비봉주택 6동 302호 신고자 신고,주택·빌라,기타화재,방문가능,★★,공식,정보없음,,,,,0,,,0,0,0
f6d57a4a4fb2,2026-09-25T04:13:51+09:00,,2026-09-25T07:16:48+09:00,인천,권역방,소방출동,인천광역시 연수구 송도동,송도 AT센터,상가·빌딩,"일반화재(차량,주택)",진화중,★,공식,정보없음,,,,,0,,,0,0,0
7297d5bff467,2026-09-25T05:11:08+09:00,,2026-09-25T19:30:52+09:00,서울 남부,사장님,소방출동,서울특별시 강서구 등촌동,센트럴시티,,"일반화재(차량,주택)",진화중,,공식,정보없음,,,,,0,,,0,0,0
cb7986c33533,2026-09-25T05:15:31+09:00,,2026-09-25T07:16:48+09:00,경기 서부,사장님,소방출동,경기도 안산시 단원구 선감동,선돌바다향기 펜션 앞,숙박,기타화재,진화중,,공식,정보없음,,,,,0,,,0,0,0
2a58d75a8dad,2026-09-25T06:01:05+09:00,,2026-09-25T19:30:52+09:00,인천,사장님,소방출동,인천광역시 계양구 갈현동,,,"일반화재(차량,주택)",진화중,,공식,정보없음,,,,,0,,,0,0,0
